"ImageName","ImageUrl","TitleName","Tag1","Tag2","Tag3","Tag4","Tag5","Tag6","Tag7","Tag8","Tag9"
"OneDay","https://flixpatrol.com/runtime/cache/files/posters/p/w350/pqwyu9syhku5sewyampfrfaoiso.jpg","One Day","TV Show","United Kingdom","02/08/2024","Netflix","Comedy","Rom Com",,,
"ResidentAlien","https://flixpatrol.com/runtime/cache/files/posters/b/w350/bg5aqft5lthusbcqofnhth0ryyp.jpg","Resident Alien","TV Show","United States","01/27/2021","Comedy","Aliens",,,,
"TheSimpsons","https://flixpatrol.com/runtime/cache/files/posters/t/w350/tubgepjtua7t0kejvmbsnbzdarz.jpg","The Simpsons","TV Show","United States","12/17/1989","Animation","Adult Animation",,,,
"TheRookie","https://flixpatrol.com/runtime/cache/files/posters/a/w350/arpuiveantdlzesroprgof6uvhq.jpg","The Rookie","TV Show","United States","10/16/2018","Crime","Crime Drama",,,,
"AmericanDad","https://flixpatrol.com/runtime/cache/files/posters/e/w350/eo2xu4uwxhe8ulblaktnissamfx.jpg","American Dad!","TV Show","United States","02/06/2005","Animation","Adult Animation",,,,
"AmericanRust","https://flixpatrol.com/runtime/cache/files/posters/s/w350/styqo79nenda8iy8zmjnevakpko.jpg","American Rust","TV Show","United States","09/12/2021","Showtime","Crime",,,,
"ApplesNeverFall","https://flixpatrol.com/static/img/bg-img-opt.png","Apples Never Fall","TV Show","United States","03/14/2024","Peacock","Drama",,,,
"TheWalkingDead","https://flixpatrol.com/runtime/cache/files/posters/y/w350/yn7psgtzshumhoklumypyrica2g.jpg","The Walking Dead","TV Show","United States","10/31/2010","Horror","Zombies",,,,
"Monk","https://flixpatrol.com/runtime/cache/files/posters/y/w350/y6cii3pbf7zjobocohonrkbpnlf.jpg","Monk","TV Show","United States","07/12/2002","Crime","Case of the week",,,,
"Futurama","https://flixpatrol.com/runtime/cache/files/posters/4/w350/4olv2ddnudg7oe6zoevbzbgepsb.jpg","Futurama","TV Show","United States","03/28/1999","Hulu","Animation","Adult Animation",,,
"9-1-1","https://flixpatrol.com/runtime/cache/files/posters/h/w350/htx1x0gq8y5bn9vtgzerf9nbotk.jpg","9-1-1","TV Show","United States","01/03/2018","Action","Doctors",,,,
"Fargo","https://flixpatrol.com/runtime/cache/files/posters/9/w350/9zihl17uflxcnuputsedhwzyiej.jpg","Fargo","TV Show","United States","04/15/2014","Crime","Murder",,,,
"HouseoftheDragon","https://flixpatrol.com/runtime/cache/files/posters/w/w350/wzfwoilbc81pzb1nign2lazqwqk.jpg","House of the Dragon","TV Show","United States","08/21/2022","HBO","Fantasy","Dragons",,,
"NCIS","https://flixpatrol.com/runtime/cache/files/posters/e/w350/eoj15m14zpf2buwxqnis7itzk9w.jpg","NCIS","TV Show","United States","09/23/2003","Crime","Case of the week",,,,
"LawOrder","https://flixpatrol.com/runtime/cache/files/posters/l/w350/l7qr5q5ijxeja9idmdxagouz0vm.jpg","Law & Order","TV Show","United States","09/13/1990","Crime","Case of the week",,,,
"House","https://flixpatrol.com/runtime/cache/files/posters/l/w350/lxszrz49nxwsiyhuvmsd19qxduc.jpg","House","TV Show","United States","11/16/2004","Drama","Doctors",,,,
"TokyoVice","https://flixpatrol.com/runtime/cache/files/posters/9/w350/9sjpyqp8nhgkrjhjo6ulm1lkyz7.jpg","Tokyo Vice","TV Show","United States","04/07/2022","HBO Max","Crime","Crime Drama",,,
"Supernatural","https://flixpatrol.com/runtime/cache/files/posters/k/w350/koywxbnyus3b0gyqpkbuexlvk9.jpg","Supernatural","TV Show","United States","09/13/2005","Fantasy","Supernatural",,,,
"AGentlemaninMoscow","https://flixpatrol.com/runtime/cache/files/posters/a/w350/awiufrn7dwag813vwqwpkd2erpp.jpg","A Gentleman in Moscow","TV Show","03/29/2024","Drama",,,,,,
"Plusbellelavie","https://flixpatrol.com/runtime/cache/files/posters/j/w350/jmu8hltdn87xmrqxagcl2swdr8i.jpg","Plus belle la vie","TV Show","08/30/2004",,,,,,,
"StarWarsTheAcolyte","https://flixpatrol.com/runtime/cache/files/posters/b/w350/beuhd82bz2r0ihilo6pxq0cc4rd.jpg","Star Wars: The Acolyte","TV Show","United States","06/04/2024","Disney+","Science Fiction","Space opera",,,
"NormalPeople","https://flixpatrol.com/runtime/cache/files/posters/e/w350/edunpinfqpzez3mqdwdh7jwgnpe.jpg","Normal People","TV Show","Ireland","04/26/2020","Drama","Dramedy",,,,
"WeWeretheLuckyOnes","https://flixpatrol.com/static/img/bg-img-opt.png","We Were the Lucky Ones","TV Show","United States","03/28/2024","Hulu","Drama",,,,
"STEVEmartinadocumentaryin2pieces","https://flixpatrol.com/runtime/cache/files/posters/u/w350/u9dxcls7vn7ehxtkrb4xbbb3kc2.jpg","STEVE! (martin) a documentary in 2 pieces","TV Show","United States","03/28/2024","Apple","Documentary",,,,
"TheGentlemen","https://flixpatrol.com/runtime/cache/files/posters/2/w350/2vv9kh5fdrephzp0wrdfmg3sxtl.jpg","The Gentlemen","TV Show","United Kingdom","03/07/2024","Netflix","Comedy","Gangsters",,,
"TheQueensGambit","https://flixpatrol.com/runtime/cache/files/posters/z/w350/zu0htwkhnvbqdvsikb9s6hgvefk.jpg","The Queen's Gambit","TV Show","United States","10/23/2020","Netflix","Drama","Psychological",,,
"FamilyGuy","https://flixpatrol.com/runtime/cache/files/posters/g/w350/gbgul1utunmdrqt8ga1luv4yg39.jpg","Family Guy","TV Show","United States","01/31/1999","Animation","Adult Animation",,,,
"TamronHall","https://flixpatrol.com/runtime/cache/files/posters/m/w350/mk2vlb0iiuak98weufbjfwmitpi.jpg","Tamron Hall","TV Show","09/09/2019",,,,,,,
"SturmderLiebe","https://flixpatrol.com/runtime/cache/files/posters/n/w350/nsesadrqjznsonczzo5kzb6prrb.jpg","Sturm der Liebe","TV Show","Germany","09/26/2005","Romance",,,,,
"TheBigBangTheory","https://flixpatrol.com/runtime/cache/files/posters/o/w350/oobgrqbdbgzbxavfexio8r7kloa.jpg","The Big Bang Theory","TV Show","United States","09/24/2007","Comedy","Sitcom",,,,
"X-Men97","https://flixpatrol.com/runtime/cache/files/posters/c/w350/cvlbab0nfeqxwuyn1mtfrgjqxuw.jpg","X-Men '97","TV Show","United States","03/20/2024","Disney+","Animation","Marvel",,,
"TheOffice","https://flixpatrol.com/runtime/cache/files/posters/q/w350/qwnjzyzhyy74gjpsjixwmuk0ifx.jpg","The Office","TV Show","United States","03/24/2005","Comedy","Sitcom",,,,
"Beef","https://flixpatrol.com/runtime/cache/files/posters/4/w350/4b4v7rnphnypeavgfareuo74r8w.jpg","Beef","TV Show","United States","04/06/2023","Netflix","Comedy","Situation",,,
"TheCurse","https://flixpatrol.com/runtime/cache/files/posters/7/w350/7mihxztk6cpcs73vs1qqgv6tsra.jpg","The Curse","TV Show","United States","11/12/2023","Showtime","Comedy","Dramedy",,,
"Sololeveling","https://flixpatrol.com/runtime/cache/files/posters/a/w350/a6comjrhzwybugsxwoynvqjdk7b.jpg","Solo leveling","TV Show","Japan","01/06/2024","Drama",,,,,
"NeonGenesisEvangelion","https://flixpatrol.com/runtime/cache/files/posters/4/w350/4n063i6prlan3vabd5y6xx9b3pw.jpg","Neon Genesis Evangelion","TV Show","Japan","10/04/1995","Animation","Anime",,,,
"TheKellyClarksonShow","https://flixpatrol.com/runtime/cache/files/posters/1/w350/1arahfyjw8l6zytfivafciqfwdm.jpg","The Kelly Clarkson Show","TV Show","United States","09/09/2019",,,,,,
"TheTourist","https://flixpatrol.com/runtime/cache/files/posters/9/w350/9vkkroop5ehhfahzorfkksrhkvz.jpg","The Tourist","TV Show","United States","01/01/2022","HBO Max","Drama","Mystery",,,
"Samuel","https://flixpatrol.com/runtime/cache/files/posters/v/w350/vj4unxuznckapnz3qunzar7mzki.jpg","Samuel","TV Show","France","03/11/2024","Animation",,,,,
"BlueBloods","https://flixpatrol.com/runtime/cache/files/posters/4/w350/4rwjfpcxgprewg6odhecocrimbm.jpg","Blue Bloods","TV Show","United States","09/24/2010","Crime","Crime Drama",,,,
"BLUEEYESAMURAI","https://flixpatrol.com/runtime/cache/files/posters/f/w350/fxm3jt4wlqvnwukdvghtablc1wc.jpg","BLUE EYE SAMURAI","TV Show","United States","11/03/2023","Netflix","Animation","Adult Animation",,,
"TheLateShowwithStephenColbert","https://flixpatrol.com/runtime/cache/files/posters/d/w350/dqav70dh7vycurs6jex7xaz9omw.jpg","The Late Show with Stephen Colbert","TV Show","United States","09/08/2015","Talk Show",,,,,
"ElasporElas","https://flixpatrol.com/runtime/cache/files/posters/h/w350/hcsh5kvsqshwxhfixr88wtjxwlo.jpg","Elas por Elas","TV Show","09/25/2023",,,,,,,
"TheProgramConsCultsandKidnapping","https://flixpatrol.com/runtime/cache/files/posters/n/w350/n3ydewmhqqfd8oo0iqizxmn7vhx.jpg","The Program: Cons, Cults and Kidnapping","TV Show","United States","03/05/2024","Netflix","Documentary","Crime",,,
"AvatarTheLastAirbender","https://flixpatrol.com/runtime/cache/files/posters/v/w350/vrdnxy6l4nqykfcoxkuz7lokxmm.jpg","Avatar: The Last Airbender","TV Show","United States","02/22/2024","Netflix","Fantasy","Fantasy Adventure",,,
"Chernobyl","https://flixpatrol.com/runtime/cache/files/posters/h/w350/hllxt2topt6rrnjiumoxyg1ltfi.jpg","Chernobyl","TV Show","United States","05/06/2019","HBO","Drama","Disaster",,,
"GoodMythicalMorning","https://flixpatrol.com/runtime/cache/files/posters/2/w350/2fja87ateuxxtei1mh2iuhhsslq.jpg","Good Mythical Morning","TV Show","01/09/2012",,,,,,,
"PyramidGame","https://flixpatrol.com/runtime/cache/files/posters/p/w350/pbuerwwncuo36cpxivfsoqcpu7w.jpg","Pyramid Game","TV Show","South Korea","02/29/2024","Drama",,,,,
"Tagesschau","https://flixpatrol.com/runtime/cache/files/posters/7/w350/7dfzj2zjjdcmkp05b9nwlqtj5tq.jpg","Tagesschau","TV Show","12/26/1952",,,,,,,
"RenegadeNell","https://flixpatrol.com/runtime/cache/files/posters/t/w350/t5evzk6kjnsrm5rdo59hovsgpyv.jpg","Renegade Nell","TV Show","United Kingdom","03/29/2024","Disney+","Action","Heist",,,
"MurdochMysteries","https://flixpatrol.com/runtime/cache/files/posters/s/w350/skoior9u46xcy5zzbun4w8shwv6.jpg","Murdoch Mysteries","TV Show","Canada","01/24/2008","Crime","Case of the week",,,,
"NANA","https://flixpatrol.com/runtime/cache/files/posters/a/w350/aqdwwmbm3dczephrbpnkiy1bgli.jpg","NANA","TV Show","Japan","04/05/2006","Animation",,,,,
"LangLevedeLiefde","https://flixpatrol.com/runtime/cache/files/posters/9/w350/9lpvvzel5kviic2vujg4qkzj2ds.jpg","Lang Leve de Liefde","TV Show","01/20/2020",,,,,,,
"Friends","https://flixpatrol.com/runtime/cache/files/posters/7/w350/7bucwbtpiprcf5lt023dsc60rgs.jpg","Friends","TV Show","United States","09/22/1994","Comedy","Sitcom",,,,
"TheHauntingofHillHouse","https://flixpatrol.com/runtime/cache/files/posters/3/w350/38pkhbgrqtmvx2drvpik3f42qho.jpg","The Haunting of Hill House","TV Show","United States","10/12/2018","Netflix","Horror","Ghosts",,,
"SouthPark","https://flixpatrol.com/runtime/cache/files/posters/v/w350/v9zc0czpy5apsfay6tgb6i1zwgv.jpg","South Park","TV Show","United States","08/13/1997","Animation","Adult Animation",,,,
"FrierenBeyondJourneysEnd","https://flixpatrol.com/runtime/cache/files/posters/d/w350/dqzenchtd7lp5zht7bdlqm7rbhd.jpg","Frieren: Beyond Journey's End","TV Show","09/29/2023",,,,,,,
"TheTonightShowStarringJimmyFallon","https://flixpatrol.com/runtime/cache/files/posters/i/w350/if7ecoh4xayw5s8gomniemtwtxp.jpg","The Tonight Show Starring Jimmy Fallon","TV Show","United States","02/17/2014","Talk Show",,,,,
"OvertheGardenWall","https://flixpatrol.com/runtime/cache/files/posters/2/w350/2kcgfbt768xaiqvj748fflo9gvl.jpg","Over the Garden Wall","TV Show","United States","11/03/2014","Animation","Adult Animation",,,,
"BandofBrothers","https://flixpatrol.com/runtime/cache/files/posters/y/w350/yrxtvpdrba3983c3hjoy0so4dv6.jpg","Band of Brothers","TV Show","United States","09/09/2001","HBO","War","World War II",,,
"BrooklynNine-Nine","https://flixpatrol.com/runtime/cache/files/posters/a/w350/a3symglohefskbz1bcoz56moups.jpg","Brooklyn Nine-Nine","TV Show","United States","09/17/2013","Comedy","Buddies",,,,
"TheDailyShowwithTrevorNoah","https://flixpatrol.com/runtime/cache/files/posters/t/w350/tzlqgxwgzejnrl9qccun8iosv2d.jpg","The Daily Show with Trevor Noah","TV Show","United States","07/22/1996","Talk Show",,,,,
"CurbYourEnthusiasm","https://flixpatrol.com/runtime/cache/files/posters/x/w350/xbr9txlyx5topts5n0ttcvvndhq.jpg","Curb Your Enthusiasm","TV Show","United States","10/15/2000","HBO","Comedy","Showbusiness",,,
"WandaVision","https://flixpatrol.com/runtime/cache/files/posters/f/w350/frobuz2x5pc8oivzu8oo5k3nkmm.jpg","WandaVision","TV Show","United States","01/15/2021","Disney+","Superhero","Marvel",,,
"BobsBurgers","https://flixpatrol.com/runtime/cache/files/posters/j/w350/jophjjblntfdopp6zqlx0xjwsmm.jpg","Bob's Burgers","TV Show","United States","01/09/2011","Animation","Adult Animation",,,,
"Yellowstone","https://flixpatrol.com/runtime/cache/files/posters/p/w350/penc0eyc3tqja6x4tdkcbpnp4t0.jpg","Yellowstone","TV Show","United States","06/20/2018","Paramount+","Drama","Business",,,
"DaisyJonesTheSix","https://flixpatrol.com/runtime/cache/files/posters/e/w350/e4bu1j2b83dhwwtzvqrynfwfhk.jpg","Daisy Jones & The Six","TV Show","United States","03/02/2023","Amazon","Drama","Musical",,,
"SquidGame","https://flixpatrol.com/runtime/cache/files/posters/d/w350/ddlemu3ez0pgg93k2svnlcjcsve.jpg","Squid Game","TV Show","South Korea","09/17/2021","Netflix","Thriller","Trap",,,
"Bluey","https://flixpatrol.com/runtime/cache/files/posters/q/w350/qbwkwjwmsop1k5fbqyhxomabapa.jpg","Bluey","TV Show","United States","10/01/2018","Animation","For babies",,,,
"LaCasadelosFamososColombia","https://flixpatrol.com/runtime/cache/files/posters/t/w350/tzxusxfbfkxkfk7xgf0jag1xl3b.jpg","La Casa de los Famosos Colombia","TV Show","Colombia","02/11/2024",,,,,,
"TheRegime","https://flixpatrol.com/runtime/cache/files/posters/3/w350/3vil6w9dtnu1ajkyjlplaovbmf5.jpg","The Regime","TV Show","United States","03/03/2024","HBO","Drama","Politics",,,
"MaryGeorge","https://flixpatrol.com/runtime/cache/files/posters/o/w350/o1lkpefic1d5zxres95zaluwmmj.jpg","Mary & George","TV Show","United Kingdom","04/05/2024","Starz","History","Kings and Queens",,,
"Loki","https://flixpatrol.com/runtime/cache/files/posters/k/w350/kel2t3ohxc3zb9fbh1auyzrtgzp.jpg","Loki","TV Show","United States","06/09/2021","Disney+","Superhero","Marvel",,,
"Demainnousappartient","https://flixpatrol.com/runtime/cache/files/posters/z/w350/zd4wqcn8roc8znd12iu2pliracx.jpg","Demain nous appartient","TV Show","07/17/2017",,,,,,,
"SharpObjects","https://flixpatrol.com/runtime/cache/files/posters/1/w350/1sgovj2qddkjexvhfixllj9eyfu.jpg","Sharp Objects","TV Show","United States","07/08/2018","HBO","Crime","Murder",,,
"TheJenniferHudsonShow","https://flixpatrol.com/runtime/cache/files/posters/6/w350/6vbneo8xg90snkwyq0ytemvbxhj.jpg","The Jennifer Hudson Show","TV Show","United States","09/12/2022",,,,,,
"BreakingBad","https://flixpatrol.com/runtime/cache/files/posters/1/w350/1yevjox3rjo2jbkrrihimj7uos9.jpg","Breaking Bad","TV Show","United States","01/20/2008","Crime","Drug Cartel",,,,
"ComeDinewithMe","https://flixpatrol.com/runtime/cache/files/posters/e/w350/enffviwzwnikn9dhyma7cxqkx6q.jpg","Come Dine with Me","TV Show","United Kingdom","01/10/2005","Reality-Show",,,,,
"CowboyBebop","https://flixpatrol.com/runtime/cache/files/posters/x/w350/xdixdfzwc6xyc6fxhi1jl3a3ill.jpg","Cowboy Bebop","TV Show","Japan","04/03/1998","Animation","Anime",,,,
"YoungSheldon","https://flixpatrol.com/runtime/cache/files/posters/c/w350/cm2j0ytgkqdaihfprzvazwstse.jpg","Young Sheldon","TV Show","United States","09/25/2017","HBO Max","Comedy","Sitcom",,,
"ChroniclesoftheSun","https://flixpatrol.com/runtime/cache/files/posters/t/w350/t6jvlbpmtzojoaofeor4yqmnjxm.jpg","Chronicles of the Sun","TV Show","08/27/2018",,,,,,,
"TheX-Files","https://flixpatrol.com/runtime/cache/files/posters/5/w350/5bd0kitgndxonqdrsswtewnk6wh.jpg","The X-Files","TV Show","United States","09/10/1993","Science Fiction","Supernatural",,,,
"ScottPilgrimTakesOff","https://flixpatrol.com/runtime/cache/files/posters/1/w350/14z1wb3hbkeyzzfuoain0nkbzfh.jpg","Scott Pilgrim Takes Off","TV Show","United States","11/17/2023","Netflix","Animation","Independent Comics",,,
"JujutsuKaisen","https://flixpatrol.com/runtime/cache/files/posters/g/w350/g1rk2nrxsidcmwnliwdirowwgtn.jpg","Jujutsu Kaisen","TV Show","Japan","10/03/2020","Animation",,,,,
"TwinPeaks","https://flixpatrol.com/runtime/cache/files/posters/6/w350/6w6zwbaay6xvbgjsou6c2mlfz8l.jpg","Twin Peaks","TV Show","United States","04/08/1990","Showtime","Crime","Mystery",,,
